2025-05-31 13:01:32.492193 - ERROR: In argument: `!is.na(Latitude) & !is.na(Longitude)`. - after 8.90000000002328 seconds

2025-05-31 16:16:09.999431 - ERROR: In argument: `!is.na(Latitude) & !is.na(Longitude)`. - after 8.45000000001164 seconds

2025-05-31 17:16:58.020758 - Joined 729267 of 941634 (77.45% success) - Time: 273.44 s

2025-05-31 17:19:42.555167 - Joined 729267 of 941634 (77.45% success) - Time: 75.53 s

2025-05-31 17:36:08.977578 - Joined 729267 of 941634 (77.45% success) - Time: 68.6 s

2025-05-31 18:28:55.630102 - Joined 729267 of 941634 (77.45% success) - Time: 74.72 s

2025-05-31 18:37:59.555628 - Joined 729267 of 941634 (77.45% success) - Time: 64.9 s

2025-05-31 18:41:45.110873 - Joined 729267 of 941634 (77.45% success) - Time: 70.24 s

2025-06-01 12:20:25.29554 - Joined 729267 of 941634 (77.45% success) - Time: 80.11 s

2025-06-01 12:24:28.799294 - Joined 729267 of 941634 (77.45% success) - Time: 72.72 s

2025-06-01 12:26:30.509969 - Joined 729267 of 941634 (77.45% success) - Time: 78.84 s

2025-06-01 12:42:49.751376 - Joined 729267 of 941634 (77.45% success) - Time: 73.96 s

2025-06-01 12:50:55.303643 - Joined 729267 of 941634 (77.45% success) - Time: 73.3 s

2025-06-01 20:17:12.741366 - Joined 729267 of 941634 (77.45% success) - Time: 74.34 s

2025-06-01 20:25:27.307977 - Joined 729267 of 941634 (77.45% success) - Time: 77.04 s

2025-06-01 20:29:21.059976 - Joined 729267 of 941634 (77.45% success) - Time: 69.8 s

2025-06-01 20:37:45.883915 - Joined 729267 of 941634 (77.45% success) - Time: 74.52 s

2025-06-01 20:40:44.292232 - Joined 729267 of 941634 (77.45% success) - Time: 74.1 s

2025-06-01 20:44:23.263937 - Joined 729267 of 941634 (77.45% success) - Time: 69.88 s

2025-06-01 20:46:57.817827 - Joined 729267 of 941634 (77.45% success) - Time: 77.22 s

2025-06-01 20:51:16.092926 - Joined 729267 of 941634 (77.45% success) - Time: 84.27 s

